Utterance,True LTL,Out LTL,Accuracy
go to the blue room keep going and stop when you reach the green room,F & blue_room F green_room,U blue_room green_room,False
go to the green room via the blue room,F & blue_room F green_room,F & blue_room F green_room,True
go through the blue room into the green room,F & blue_room F green_room,F & blue_room F green_room,True
go over towards the blue room and up through it to the green rectangular room,F & blue_room F green_room,F & blue_room F green_room,True
go through the blue to get to the green,F & blue_room F green_room,F & blue_region F green_region,False
go through blue room to green room,F & blue_room F green_room,F & blue_room F green_room,True
follow the path through the blue room to get to the green room,F & blue_room F green_room,F & blue_room F green_room,True
go through the blue room to the green room,F & blue_room F green_room,F & blue_room F green_room,True
go through blue rooms to get to the green one,F & blue_room F green_room,F & blue_room F green_region,False
take the blue room first which leads to the green room,F & blue_room F green_room,F & blue_room F green_room,True
only go to the green room by first entering the blue room,F & blue_room F green_room,& U ! green_room blue_room F green_room,False
go to the green room through the blue one,F & blue_room F green_room,F & green_room F blue_region,False
go through the blue room to the green room,F & blue_room F green_room,F & blue_room F green_room,True
go to the green area through blue area,F & blue_room F green_room,F & green_region F blue_region,False
go through blue to get to green,F & blue_room F green_room,F & blue_region F green_region,False
go through blue room to get to green room,F & blue_room F green_room,F & blue_room F green_room,True
go through blue to green room,F & blue_room F green_room,F & blue_region F green_room,False
please go to the green room through the blue room,F & blue_room F green_room,F & green_room F blue_room,False
travel through the blue square room to the large green rectangular room,F & blue_room F green_room,F & blue_room F big_green_room,False
go through the blue room to get to the green room,F & blue_room F green_room,F & blue_room F green_room,True
move through a blue room and into the green room,F & blue_room F green_room,F & blue_room F green_room,True
go through blue to reach green,F & blue_room F green_room,F & blue_region F green_region,False
go to the green room through blue,F & blue_room F green_room,F & green_room F blue_region,False
move through the blue room into the green room,F & blue_room F green_room,F & blue_room F green_room,True
go into the green room through the blue room,F & blue_room F green_room,F & green_room F blue_room,False
go through the blue room to the green room,F & blue_room F green_room,F & blue_room F green_room,True
go through the blue room to get to the green room,F & blue_room F green_room,F & blue_room F green_room,True
go into the blue room and then the green room,F & blue_room F green_room,F & blue_room F green_room,True
go to green rectangle via blue square,F & blue_room F green_room,F & small_green_region F blue_region,False
go to the green room through the blue room,F & blue_room F green_room,F & green_room F blue_room,False
go through the blue room to the green room,F & blue_room F green_room,F & blue_room F green_room,True
go to the blue room then to the green room,F & blue_room F green_room,F & blue_room F green_room,True
go to the green room via the blue room,F & blue_room F green_room,F & blue_room F green_room,True
travel through the blue room into the green room,F & blue_room F green_room,F & blue_room F green_room,True
go to large green room through blue room,F & blue_room F green_room,F & big_green_room F blue_room,False
go to the blue room only and then the green room only,F & blue_room F green_room,& U ! green_room blue_room F green_room,False
navigate through blue to reach green,F & blue_room F green_room,F & blue_region F green_region,False
enter the green room through the blue room,F & blue_room F green_room,F & green_room U green_room blue_room,False
make your way to the green room by going through the blue room,F & blue_room F green_room,F & blue_room F green_room,True
the robot moves through the blue room to get to the green room,F & blue_room F green_room,F & blue_room F green_room,True
enter the blue room and proceed until the green room,F & blue_room F green_room,F & blue_room F green_room,True
go through the blue room towards the green room,F & blue_room F green_room,F & blue_room F green_room,True
go through the blue room into the green room,F & blue_room F green_room,F & blue_room F green_room,True
go to the green room by passing through the blue room,F & blue_room F green_room,F & green_room U green_room blue_room,False
enter the door to the blue room and exit the other door into the green room,F & blue_room F green_room,& U ! blue_room blue_room F green_room,False
travel through the blue room to the green room,F & blue_room F green_room,F & blue_room F green_room,True
enter green room via blue room,F & blue_room F green_room,F & green_room U green_room & blue_room U ! blue_room F blue_room,False
go through blue room to green room,F & blue_room F green_room,F & blue_room F green_room,True
go through the blue room until you get to the green,F & blue_room F green_room,F & blue_room F green_region,False
move through the blue room to the green room,F & blue_room F green_room,F & blue_room F green_room,True
travel through the blue room to go into the green room,F & blue_room F green_room,F & blue_room F green_room,True
go to the green room via the blue room,F & blue_room F green_room,F & blue_room F green_room,True
always walk through the blue room to get to the green room,F & blue_room F green_room,G i blue_room F green_room,False
the robot moves towards the green room through the blue room,F & blue_room F green_room,F & green_room F blue_room,False
go thru the blue box to get to the green box,F & blue_room F green_room,F & blue_region F green_region,False
move to the blue room and then to the green room,F & blue_room F green_room,F & blue_room F green_room,True
instead of going through the red room move through the blue room to enter the green room,F & blue_room F green_room,& U ! red_room blue_room & U ! green_room red_room F green_room,False
go to the blue room then to the green room,F & blue_room F green_room,F & blue_room F green_room,True
go through the blue room in to the green room,F & blue_room F green_room,F & blue_room F green_room,True
go thru the blue to get to the green,F & blue_room F green_room,F & blue_region F green_region,False
go through the blue room to get to the green room,F & blue_room F green_room,F & blue_room F green_room,True
go through the blue room to enter the green room,F & blue_room F green_room,F & blue_room F green_room,True
the robot goes to the blue to get to the green,F & blue_room F green_room,F & blue_region F green_region,False
walk pass the blue room into the green room,F & blue_room F green_room,F & blue_room F green_room,True
move to the large green room by passing through the small blue room,F & blue_room F green_room,F & big_green_room F small_blue_room,False
enter the blue room and then the green room,F & blue_room F green_room,F & blue_room F green_room,True
go through the blue room to the green room,F & blue_room F green_room,F & blue_room F green_room,True
you must walk through the blue room to get to the green room,F & blue_room F green_room,F & blue_room F green_room,True
move through the blue room to the green room,F & blue_room F green_room,F & blue_room F green_room,True
go to the green room only through the blue room,F & blue_room F green_room,& U ! green_room blue_room F green_room,False
go through the blue room and enter the green room,F & blue_room F green_room,F & blue_room F green_room,True
walk through the blue room until you reach the green room,F & blue_room F green_room,F & blue_room F green_room,True
cross the blue room only to reach the green room,F & blue_room F green_room,U blue_room green_room,False
go to blue room then go to green room,F & blue_room F green_room,F & blue_room F green_room,True
go through the blue room to get to the green room,F & blue_room F green_room,F & blue_room F green_room,True
go to the blue room then go to the green room,F & blue_room F green_room,F & blue_room F green_room,True
go to the green room via the blue room,F & blue_room F green_room,F & blue_room F green_room,True
go through the door to the blue room and continue into the green room,F & blue_room F green_room,F & blue_room F green_room,True
first enter the blue room and then proceed to the green room,F & blue_room F green_room,F & blue_room F green_room,True
move toward the blue room then into the green room,F & blue_room F green_room,F & blue_room F green_room,True
move into the green room while being sure to pass through only the blue room,F & blue_room F green_room,& U ! blue_room green_room F blue_room,False
go to the green room by first entering the blue room,F & blue_room F green_room,F & blue_room F green_room,True
pass through the blue room to reach the green room,F & blue_room F green_room,F & blue_room F green_room,True
the robot goes through the blue to get to the green,F & blue_room F green_room,F & blue_region F green_region,False
go through the blue room to the green room,F & blue_room F green_room,F & blue_room F green_room,True
go through the blue room to reach the green room,F & blue_room F green_room,F & blue_room F green_room,True
go into the green room by way of the blue room,F & blue_room F green_room,F & blue_room F green_room,True
go through the blue room while moving to the green room,F & blue_room F green_room,F & blue_room F green_room,True
pass through the small blue room to get to the large green room,F & blue_room F green_room,F & small_blue_room F big_green_room,False
go through the blue room to get to the green room,F & blue_room F green_room,F & blue_room F green_room,True
move through the green rooms to get to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go from the pink room to the blue room by going through the green room,F & green_room F blue_room,F & red_room F blue_room,False
go through the green room to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
pass through the small green room to get to the large blue room,F & green_room F blue_room,F & small_green_room F big_blue_room,False
move to the blue room by going through the green room first,F & green_room F blue_room,F & green_room F blue_room,True
move into the blue room through the green room,F & green_room F blue_room,F & blue_room F green_room,False
travel through the green room to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go through the green box to get to the blue area,F & green_room F blue_room,F & green_region F blue_region,False
go through the green room in to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
enter blue room through green room,F & green_room F blue_room,F & blue_room F green_room,False
robot goes through green and ends up in blue,F & green_room F blue_room,F & green_region F blue_region,False
move into the blue room but only via the green room,F & green_room F blue_room,& U ! blue_room green_room F blue_room,False
go through the green room to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go through the green room into the blue room,F & green_room F blue_room,F & green_room F blue_room,True
enter the blue room through the green door only,F & green_room F blue_room,& U ! blue_room green_room F blue_room,False
the robot must go into the blue room by going through the green room,F & green_room F blue_room,G i green_room F blue_room,False
go through the green room to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go to the blue area through green area,F & green_room F blue_room,F & blue_region F green_region,False
go to green room before blue room,F & green_room F blue_room,& U ! blue_room green_room F blue_room,False
go to the blue room via the green room,F & green_room F blue_room,F & blue_room F green_room,False
go up through the green box to the blue box,F & green_room F blue_room,F & green_region F blue_region,False
go to blue room through green room,F & green_room F blue_room,F & blue_room F green_room,False
go to the blue room but only go through the green room to get there,F & green_room F blue_room,& U ! green_room blue_room F green_room,False
go through the green room into the blue room,F & green_room F blue_room,F & green_room F blue_room,True
only go through green rooms to get to blue rooms,F & green_room F blue_room,& U ! blue_room green_room F blue_room,False
go via green color path to reach blue room,F & green_room F blue_room,F & green_region F blue_room,False
go through the green room to get to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go through the green room and then into the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go through green to get to blue,F & green_room F blue_room,F & green_region F blue_region,False
go to the green room and then go to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
the robot goes through the green to get to blue,F & green_room F blue_room,F blue_region,False
go to the blue room and make sure to go through the green room,F & green_room F blue_room,F & blue_room F green_room,False
move through the green room to gain access to the large blue room,F & green_room F blue_room,F & green_room F big_blue_room,False
go through the green room to reach the blue room,F & green_room F blue_room,F & green_room F blue_room,True
pass through the small green room to get to the large blue room,F & green_room F blue_room,F & small_green_room F big_blue_room,False
move through the green room to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go to green room then to blue room,F & green_room F blue_room,F & green_room F blue_room,True
go through green rooms to get to the blue one,F & green_room F blue_room,F & green_room F blue_region,False
go through the green room to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
pass through the green room to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go through the green room to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
move through green room to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go through the green room and into the blue room,F & green_room F blue_room,F & green_room F blue_room,True
avoiding all but the green rectangle travel to the blue area,F & green_room F blue_room,& U ! blue_region small_green_region F blue_region,False
move to reach the blue place by taking a path which has green colour and white colour in it while avoiding black yellow and red colour,F & green_room F blue_room,& U ! yellow_region green_region & U ! red_region yellow_region F blue_region,False
go through the green room into the blue room,F & green_room F blue_room,F & green_room F blue_room,True
move to blue room through the green room,F & green_room F blue_room,F & green_room F blue_room,True
pass through the green room to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go to the blue room through the green room,F & green_room F blue_room,F & blue_room F green_room,False
go through the green room into the blue room,F & green_room F blue_room,F & green_room F blue_room,True
enter the blue room by going though the green room,F & green_room F blue_room,F & blue_room F green_room,False
go towards the blue room through the green room,F & green_room F blue_room,F & blue_room F green_room,False
go through the green room to reach the blue room,F & green_room F blue_room,F & green_room F blue_room,True
move through the green room to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
the robot goes through green to get to blue,F & green_room F blue_room,F blue_region,False
enter the blue room through the green room,F & green_room F blue_room,F & blue_room U blue_room green_room,False
enter the blue room by way of the green room,F & green_room F blue_room,F & blue_room U blue_room green_room,False
progress through green rectangle room to the large blue room,F & green_room F blue_room,F & green_room F big_blue_room,False
go through the green room to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go to the blue room via the green room,F & green_room F blue_room,F & blue_room F green_room,False
to reach the blue go through the green,F & green_room F blue_room,F & blue_region U blue_region green_region,False
enter the green room and exit into the blue room,F & green_room F blue_room,F & green_room F blue_room,True
travel through the green room to the blue rectangular room,F & green_room F blue_room,F & green_room F big_blue_room,False
go through the green and to the blue,F & green_room F blue_room,F & green_region F blue_region,False
go through the green room to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
enter blue room via green room,F & green_room F blue_room,F & blue_room U blue_room & green_room U ! green_room F green_room,False
go through the green room to get to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go through the green room to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go up through the green room into the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go through the green room to get to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go through the green room to get to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
follow the green room to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go to blue via green,F & green_room F blue_room,F & blue_region F green_region,False
first enter the green room and then move to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
move toward the green room then into the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go through the green room in to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
move through the green room and into the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go through the green room into the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go through green to get to blue,F & green_room F blue_room,F & green_region F blue_region,False
move through the green room and out into the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go through the green room to get to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
move through the hallway to the blue room but only if it takes you through a green room,F & green_room F blue_room,& U ! blue_room small_green_room F blue_room,False
go to the green room then go to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go through the green room and into the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go through the green room to get to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go through the green room into the blue room,F & green_room F blue_room,F & green_room F blue_room,True
move through the green room to get to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go through green rooms to get to the blue one,F & green_room F blue_room,F & green_room F blue_region,False
move to the large blue room by passing through the small green room,F & green_room F blue_room,F & big_blue_room U big_blue_room small_green_room,False
move to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move from your room to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go in to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move into the red room and stay on the first square you end up on,F red_room,F & red_room F small_blue_region,False
go to red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go into the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move into the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go into the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move into the red room,F red_room,F red_room,True
move to red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move into red room,F red_room,F red_room,True
go into the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room and stop after entering,F red_room,F & red_room U red_room & ! red_room U ! red_room F red_room,False
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go into the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move into the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go into the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
enter the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
i want you to go into the red room,F red_room,G i red_room F c,False
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to red room,F red_room,F red_room,True
go to red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go into the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red,F red_room,F red_region,False
move to red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go into the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
move into the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to red room,F red_room,F red_room,True
move to red room,F red_room,F red_room,True
go to red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go from the blue room to the red room then go from the red room to the green room,F & red_room F green_room,F & blue_room F & red_room F green_room,False
go to red room and then green room,F & red_room F green_room,F & red_room F green_room,True
go into the red room and then go into the green room,F & red_room F green_room,F & red_room F green_room,True
go to the red room then go to the green room,F & red_room F green_room,F & red_room F green_room,True
go to the red room go to the green room,F & red_room F green_room,& F red_room F green_room,False
go to red room go to green room,F & red_room F green_room,F & red_room F green_room,True
move to the red room then go to the green room,F & red_room F green_room,F & red_room F green_room,True
enter the red room then enter the green room,F & red_room F green_room,F & red_room F green_room,True
move to the red room move to the green room,F & red_room F green_room,F & red_room F green_room,True
go to the red room and then go to the green room,F & red_room F green_room,F & red_room F green_room,True
first go to red room then go to green room,F & red_room F green_room,F & red_room F green_room,True
go from the blue room to the red room and then go from the red room to the green room,F & red_room F green_room,F & blue_room F & red_room F green_room,False
go into the red room and enter the green room,F & red_room F green_room,F & red_room F green_room,True
move to red room move to green room,F & red_room F green_room,F & red_room F green_room,True
go to the red room and then the green room,F & red_room F green_room,F & red_room F green_room,True
go to the red room and then go into the green room,F & red_room F green_room,F & red_room F green_room,True
move to the red room then move to the green room,F & red_room F green_room,F & red_room F green_room,True
go to the red room then the green room,F & red_room F green_room,F & red_room F green_room,True
go to the red room then the green room,F & red_room F green_room,F & red_room F green_room,True
go to the red room and then go to the green room,F & red_room F green_room,F & red_room F green_room,True
move to the red room and move into the green room,F & red_room F green_room,& F red_room F green_room,False
go into the red room then go into the green room,F & red_room F green_room,F & red_room F green_room,True
move to the red room move to the green room,F & red_room F green_room,F & red_room F green_room,True
go to the red room then to the green room,F & red_room F green_room,F & red_room F green_room,True
go to the red room and then to green room,F & red_room F green_room,F & red_room F green_room,True
robot c move to the red room and then move to the green room,F & red_room F green_room,F & c F & red_room F green_room,False
move from blue room to red room then move to green room,F & red_room F green_room,F & blue_room F & red_room F green_room,False
move to red room then move to green room,F & red_room F green_room,F & red_room F green_room,True
move into the red room then move into the green room,F & red_room F green_room,F & red_room F green_room,True
go to the red room and then go to the green room,F & red_room F green_room,F & red_room F green_room,True
go to the red room go to the green room,F & red_room F green_room,& F red_room F green_room,False
go to the red room and then go to the green room,F & red_room F green_room,F & red_room F green_room,True
move to the red room then move to the green room,F & red_room F green_room,F & red_room F green_room,True
go into the red room and then into the green room,F & red_room F green_room,F & red_room F green_room,True
move to the red room and then move to the green room,F & red_room F green_room,F & red_room F green_room,True
go to red room go to green room,F & red_room F green_room,F & red_room F green_room,True
go to red room go to green room,F & red_room F green_room,F & red_room F green_room,True
go to red room go to green room,F & red_room F green_room,F & red_room F green_room,True
go to red room go to green room,F & red_room F green_room,F & red_room F green_room,True
move to the red room and then move to the green room,F & red_room F green_room,F & red_room F green_room,True
go to the red room go to the green room,F & red_room F green_room,& F red_room F green_room,False
move to the green room,F green_room,F green_room,True
move to the green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
move to the green room,F green_room,F green_room,True
go in and then go into the green room,F green_room,F & green_room F & b F green_room,False
move to the green room,F green_room,F green_room,True
go in and then go to the green room,F green_room,F & green_room F & b F green_room,False
move to the green room,F green_room,F green_room,True
move to the green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
move to the green room,F green_room,F green_room,True
move to the green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
move to the green room,F green_room,F green_room,True
move to the middle of the green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
go into the green room,F green_room,F green_room,True
move to green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
move until you are one square into the green room,F green_room,U ! small_green_room b,False
go to the green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
leave this room and go into the green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
move to the green room,F green_room,F green_room,True
move to green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
move to green room,F green_room,F green_room,True
go into the green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
exit room and go right to the green room,F green_room,F & green_room U green_room & ! green_room U ! green_room F green_room,False
go to the green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
go into the green room,F green_room,F green_room,True
go from the blue room to the red room then to the green room,F green_room,F & blue_room F & red_room F green_room,False
go to the green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
